"X","S1_TPM","M1_TPM","F1_TPM","S2_TPM","M2_TPM","F2_TPM","gene_name","slope_1","slope_2"
"11429","ENSMUSG00000039148",17.9162,19.5211,22.5306,18.12935,20.16105,23.90735,"SART1",2.3072,2.889
"11922","ENSMUSG00000040463",41.788515,45.020735,55.0087435,41.5891595,52.2435295,65.68357252,"MYBBP1A",6.61011424999999,12.04720651
"12116","ENSMUSG00000040952",970.22069,1075.2797505,1270.97373,1011.912336,1224.95075,1384.612105,"RPS19",150.37652,186.3498845
"12142","ENSMUSG00000041057",34.36515,39.8951,48.47725,35.8351,42.95275,57.60715,"WDR43",7.05604999999999,10.886025
"12288","ENSMUSG00000041560",70.662295,80.09502,93.637295,55.580265,80.52249,87.2037,"NOP53",11.4875,15.8117175
"12668","ENSMUSG00000042660",14.58965,16.61135,17.51175,15.4834,16.4164,17.45985,"WDR55",1.46105,0.988224999999998
"12693","ENSMUSG00000042729",38.204,47.5102,56.9164,41.22065,49.891185,62.0832,"WDR74",9.35619999999999,10.431275
"12943","ENSMUSG00000043716",1071.95097,1157.04662,1314.2327,1085.2645385,1247.79189,1350.812425,"RPL7",121.140865,132.77394325
"13183","ENSMUSG00000044533",992.981455,1281.630005,1688.617868,963.7990655,1375.9752285,1929.0795705,"RPS2",347.8182065,482.6402525
"13497","ENSMUSG00000045624",30.8702145,32.322221,34.777239,32.919848,33.2684515,40.245698,"ESF1",1.95351225,3.66292499999999
"13842","ENSMUSG00000046865",64.905203,80.8492735,106.6651315,64.359804,84.194767,117.279137,"FBL",20.87996425,26.4596665
"14068","ENSMUSG00000047675",753.73208,803.823035,899.2295405,750.991282,943.99457,965.14792,"RPS8",72.74873025,107.078319
"15240","ENSMUSG00000052146",1120.72793181545,1231.934911,1506.411989,1085.6519155,1329.86763059716,1615.731809,"RPS10",192.842028592275,265.03994675
"15493","ENSMUSG00000053289",13.0709,15.3289,16.13215,16.15615,16.9628,17.3835,"DDX10",1.530625,0.613674999999997
"16128","ENSMUSG00000056209",41.936645,46.62127,78.813055,41.464655,55.895225,83.120175,"NPM3",18.438205,20.82776
"16324","ENSMUSG00000057113",876.9935,926.6465,996.3528,923.16675,935.1376,1094.51775,"NPM1",59.6796499999998,85.6754999999998
"16398","ENSMUSG00000057421",23.985997,26.632812,29.8808595,26.145159,28.7069965,33.377021,"LAS1L",2.94743125,3.615931
"16635","ENSMUSG00000058546",2209.211293,2366.952305,2503.626565,2269.27821,2417.8543665,2490.12966,"RPL23A",147.207636,110.425725
"16637","ENSMUSG00000058558",85.811305,97.431505,111.957415,96.08291,103.10658,128.72511,"RPL5",13.073055,16.3211
"16990","ENSMUSG00000060036",782.079109,910.072388,1039.4453885,781.20926075,972.1121535,1143.0886165,"RPL3",128.68313975,180.939677875
"17120","ENSMUSG00000060636",1162.156824,1207.1902475,1371.495323,1139.754484,1257.843111,1399.9503445,"RPL35A",104.6692495,130.09793025
"17148","ENSMUSG00000060739",68.622,75.5496,77.33615,69.77895,76.2639,79.0927,"NSA2",4.357075,4.65687499999999
"17185","ENSMUSG00000060938",918.3815265,951.6077775,1067.630378,890.434969,1030.265196,1063.8249655,"RPL26",74.62442575,86.6949982499999
"17201","ENSMUSG00000061024",21.7269,23.3346,26.79915,23.78065,25.7456,29.9087,"RRS1",2.536125,3.06402499999999
"17203","ENSMUSG00000061032",123.5665,126.416,126.683,115.1485,129.7115,134.4005,"RRP1",1.55824999999998,9.62599999999997
"17288","ENSMUSG00000061477",558.725,593.307,610.6085,544.6795,595.09,650.979,"RPS7",25.9417499999998,53.14975
"17354","ENSMUSG00000061787",1117.12879,1294.05965,1530.147295,1142.82851,1395.035395,1593.96551,"RPS17",206.5092525,225.5685
"17568","ENSMUSG00000062647",792.1879455,867.5543045,1013.666045,763.89614,980.87085,1045.319541,"RPL7A",110.73904975,140.7117005
"17641","ENSMUSG00000062997",521.9605,547.905,657.477,539.586,622.111,651.803,"RPL35",67.75825,56.1084999999999
"17712","ENSMUSG00000063316",79.22961,82.812336,101.2464985,82.695795,97.017955,126.95448,"RPL27",11.00844425,22.1293425
"17745","ENSMUSG00000063457",2052.2922,2159.1829,2529.94865,1835.2021,2194.97665,2395.0367,"RPS15",238.828225,279.9173
"17848","ENSMUSG00000063888",41.47965,45.0355,48.79205,45.1834,49.5098,55.0436,"RPL7L1",3.65619999999999,4.93009999999999
"19200","ENSMUSG00000067274",1582.4064805,1616.878295,1779.3494615,1500.54425,1801.9430765,1864.868019,"RPLP0",98.4714904999998,182.1618845
"19204","ENSMUSG00000067288",1484.190451,1772.9084285,1972.696685,1555.577934,1780.90287,2063.898009,"RPS28",244.253117,254.1600375
"20779","ENSMUSG00000074182",36.6415175,46.398125,49.9284035,40.205286,47.393248,53.588207,"ZNHIT6",6.64344299999999,6.69146049999999
"36913","ENSMUSG00000098274",968.8509,1060.4629,1190.08038,949.93972,1114.26665,1175.8935,"RPL24",110.61474,112.97689
