FIB_slow1	FIB_slow2	FIB_slow3	FIB_slow4	FIB_m1	FIB_m2	FIB_fast1	FIB_fast2	FIB_fast3	FIB_fast4
ENSMUSG00000001016	1389.90822849535	1153.8974711885	1353.29677200414	1030.51044795845	1312.98086667962	1545.23711887204	1588.56740490522	1613.91478177819	1329.04408456232	1020.93711591076
ENSMUSG00000001017	4334	3991	3451	3373	4810	5010.89871160055	4740.96847864281	4861	3821	3755
ENSMUSG00000001018	1968.84534333798	1792.05036101444	1258.03363935118	1555.45309943481	2171.36654448154	2329.15767500421	1979.53702691982	1887.31262007412	1245.75920225141	1437.35596786188
ENSMUSG00000001020	26157	21864	39014	45061	27537	33784	40245	41640	68371	58446
ENSMUSG00000001021	5.23987985634115	1.11304808970018	5.07697579039835	15	11.1876955783293	9.84655782671921	3.19343813499993	7.09478607736607	16.676116574466	14.3139211036294
ENSMUSG00000001023	2	2	0	5	6	0	3	5	11	8
ENSMUSG00000001025	5655.30991722638	4407.31780311903	8816.19900399183	10400.3846957711	5790.90555465637	6715.81627804168	6095.26017062761	6792.55263965144	13751.9271065946	10559.2958107812
ENSMUSG00000001027	1	4	0	3	2	8	3	3	1	1
ENSMUSG00000001029	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001034	1032.5311643282	925.934550000567	809	880	1043.93392111405	1167.89072184612	986.943120389212	1072.86259657647	818	915
ENSMUSG00000001036	1136	1032	853	867	976	1238	810	972	540	576
ENSMUSG00000001039	218	213	235	323	271	365	323	291	368	411
ENSMUSG00000001052	2841.99909806016	2701.0463144979	2264	2406	3018	3174.01877199404	2994	3150	2419.02190148203	2626
ENSMUSG00000001053	148	136	120	136	88	118	94	77	72	77
ENSMUSG00000001054	699	597	706	737	623	735	585.042556247963	630	577	587
ENSMUSG00000001056	392	465	1061	875	511	577	726.957443752037	853	1570	1034
ENSMUSG00000001062	653.970405039763	540.113037128615	556.910650380667	740.115338866164	708.415465106081	732.00867464375	655.504337818172	575.195545443961	578.266614257144	661.530223473483
ENSMUSG00000001065	920.827955198859	728.701854304232	780.40912812402	927.377450532475	828.437565853097	971.161000985943	771.509491439584	795.85680887284	731.070382202201	756.347611902812
ENSMUSG00000001076	0	0	5	3	3	1	0	0	2	1
ENSMUSG00000001082	2400.29886883514	1992.89428292138	2281.86228740495	2438.51902947281	2317.64146941955	2747.93824786155	2318.59388301383	2261.89976382469	2237.31409420964	2287.69552095861
ENSMUSG00000001089	4971	4789	3893	3528	4488	5424	3811	4255	2678	2668
ENSMUSG00000001095	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	8828.59935787182	7696.32480364537	8620.98934479522	8230.79257656803	8287.87813327384	10115.3562518752	7265.04092354078	7809.67122336583	7726.52205120809	6616.70515384721
ENSMUSG00000001100	1434.78139133886	1215.58900356014	1396.87550343585	1606.53655401306	1536.82282371552	1758.2302934056	1794.97214948097	1782.43312902592	1964.31640068654	2011.5359516331
ENSMUSG00000001103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105	790	712	631	747	908	1040	943	981	937	889
ENSMUSG00000001119	84614	69986	67237	86852	95558	109777	85139	82487	58460	84824
ENSMUSG00000001120	728	576	853	1019	671	709	783	807	966	944
ENSMUSG00000001123	1802	1585	2073	1976	1640	1885	1529	1323	1173	1199
ENSMUSG00000001127	2268.4867162297	2256.64142418595	2097.9706291041	2419.886909872	2387.57326785389	2577.46296171606	2209.87013097177	2308.63530255378	1910.85131601335	2197.36544851587
ENSMUSG00000001128	245	277	216	248	242	258	351	287	211	264
ENSMUSG00000001131	688	618	1419	1647	688	908	854	1032	1565	1426
ENSMUSG00000001134	312.157353225646	286.692820563865	326.242651733176	384.858749585698	306.761130243785	403.594445493309	328.52618051464	356.146858044337	373.90819369057	312.371539840995
ENSMUSG00000001138	740.83615701705	659.148638664894	457.628178775111	534.621030093437	654.248621884218	753.921456657885	597.942128201996	547.937444417244	427.19002606688	479.002721977266
ENSMUSG00000001143	852.78097595739	729.846094912682	728.382185897542	703.829143769887	898.379220015222	1005.9175105715	863.232722509186	862.849132924467	678.652858858829	650.071992196736
ENSMUSG00000001150	2418	2090.90400025552	2480.63636596901	2715.59439642685	2647.90105146169	2776.80172349497	2635	2785.58380177928	2613.12783520897	2916.83516435431
ENSMUSG00000001151	2111	1689	1152.85094051205	609.138452420609	1674	1590	1609	1797	1109.49708511493	317.158657017965
ENSMUSG00000001155	25.0101564130386	14.7106032987478	25	25.2011607612697	47.0638274412266	51.1153922484162	43	22.0933534798299	6	19
ENSMUSG00000001156	530.984729615254	518.823755931654	378	527.703639562005	518.398059276137	511.894080527868	423.9321020751	403.955673101686	325.543358789329	407.71817568299
ENSMUSG00000001157	1148.12511993881	1030.89819114347	759.373272293845	747.005791823534	1035.00088095874	1244.09619777225	891.865852017022	1019.18766734312	644.274179966375	629.469752408144
ENSMUSG00000001158	891	793	1199	1132	857	1007	799	830	1196	874
ENSMUSG00000001166	6	2	4	0	4	0	0	1	0	1
ENSMUSG00000001168	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	2534.67924859439	2527.99096667297	2170.23424820065	2343.87021508007	2656.1979216512	2886.74868625699	2742.57888737354	2937.7320165488	2171.02495798661	2577.68388268781
ENSMUSG00000001175	14946.7282918396	13554.6639199459	13626	13662	14631.6457949562	18340.0845742911	15465.4530615111	17616.0853488974	15151	13981
ENSMUSG00000001211	3326	2696	3644.0107041391	3864.88539091084	3334	4104	3866	4021	4389.13142863477	4250.78915679328
ENSMUSG00000001225	6.20218664283653	2.45712255698403	0.300929897317074	4.28752690255097	1	15.3712495026336	12.3096651276696	2.79945474512699	15.8562484132761	9.86303793042603
ENSMUSG00000001227	2	5	8	8	6	6	9	8	21	30
ENSMUSG00000001228	6044.58918500286	4715.2877405643	5864.59081569907	5969.04239872603	4695.9847481458	4780.8017826486	4872.75991475803	4849.21182618441	6276.68523100352	6104.12470811573
ENSMUSG00000001229	2543	2237	2626.62960186041	2506.02844499827	2525	2928	2711	2844	2483.68286220254	2572.2660423349
ENSMUSG00000001240	23.0574582128831	14.7690971610382	19.837013078812	27.9742874282324	32	24.5552612410252	26	44.6591939111857	25	47.8698451714608
ENSMUSG00000001247	0	0	0	0	0	9.12517518369681	0	2.59887087182204	0	0
ENSMUSG00000001248	1431.42902929581	1141.82428389512	1342.47396030371	1674.60867007283	1486.6403986016	1586.6343429598	1497.6469215812	1578.98736185139	1373.76213406737	1557.87061111849
ENSMUSG00000001249	3	2	0	7	2	3	3	2	0	1
ENSMUSG00000001260	0	0	0	0	0	0	0	0	0	0
