ESC_slow1	ESC_slow2	ESC_slow3	ESC_slow4	ESC_m1	ESC_m2	ESC_fast1	ESC_fast2	ESC_fast3	ESC_fast4
ENSMUSG00000000325	727.780594060565	885.896053732033	947.942559399395	931.048930849406	742.58759039976	909.559028601251	748.12797520775	1077.46986989716	887.42284966628	859.462054380749
ENSMUSG00000000326	849.786236615286	942.798665791131	953.280100870779	933.383049142398	918.288077656761	914.795621251036	855.281555368161	1005.57689541251	722.945307101809	752.00644659561
ENSMUSG00000000339	1395.60657158182	1532.9570105007	1318.82729575797	1419.709428384	1603.08329520611	1733.49615710922	1660.62864849476	2075.14411657895	1272.1872206111	1406.64951263323
ENSMUSG00000000340	1072.57509712865	1016.33413643757	829.832430687612	925.457501731307	1144.61701681821	1194.98822490122	1001.7840705086	1174.20645009735	1069.78795254638	876.382563674846
ENSMUSG00000000346	1658	1797	1378.75777264398	1591.41145234946	1792	1884	1631	2256	1596.01126707931	1506.69133665123
ENSMUSG00000000355	1810	1720	1014	1337	2101	1702	1841	1916	1107	1127
ENSMUSG00000000359	1	4	6	0	1	4	4	0	3	2
ENSMUSG00000000365	527	554	327.214951480432	383.385649194463	485	506	490	544	253.087649800978	194.97315980602
ENSMUSG00000000374	707	665	611.606703588334	741.260809161276	742	700	599	700	601.071032473395	610.585325681778
ENSMUSG00000000378	498	582	515	537	553	561	597	777	498	630
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	3389.1601129893	3581.35021503346	4172.98049659506	4632.87597573305	3718.61609542238	3547.70262594358	3443.08870209162	4242.92572681624	4020.31277175115	4486.65964012177
ENSMUSG00000000385	1	2	2	1.19860611392675	0	0	0	0	0	0
ENSMUSG00000000386	5	8	5.80636207731661	0	5.12817768527268	5.11780220537136	8.20311835203879	15.1269946721442	1.28968670103093	6
ENSMUSG00000000392	7.29218627138568	3.04127041314392	0	9.80989390985149	5.13067816681823	1.02943045924251	12.2685973561392	6.14300917424275	11.3481029170103	4.06218633101097
ENSMUSG00000000394	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000399	770.870912322455	798.112793722786	1103.718748337	1117.39976385035	442.210191326705	430.706888364345	571.61253357981	820.56919352118	922.281596223941	1007.41484023513
ENSMUSG00000000402	174.76597049624	187.654767261033	133.666284907068	113.508814742188	174.625943979737	207.799742970457	155.385455764835	226.494619762148	94.6699849150753	98.0319125960638
ENSMUSG00000000409	915	606	1063	1430	1272	678	1297	956	1182	1524
ENSMUSG00000000411	3	3	5	0	1	2	1	0	3	3
ENSMUSG00000000416	72.8298372046251	179.893118962712	193	201.524708769055	97.6115031207702	153	89	141	148	128
ENSMUSG00000000420	2259	2640	1908.01968359359	2245.11485600355	2607	2962	2481	3330	2073.0446914542	2051.1687322987
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	1783.01554638021	1765.62748015521	1576.88034028732	1814.83227009762	1930.10225118523	1972.34576329606	1826.0630882852	2159.97417260227	1765.88352760271	1609.53153603178
ENSMUSG00000000440	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000000441	5595.63939380674	5656.97588532144	6121.5541715166	7001.5960553419	6189.58267339153	6074.89328092756	5527.51073181846	6973.60027658977	5696.15085487232	6435.8983020928
ENSMUSG00000000486	959	742	1121	1099	1012	755	829	869	955	858
ENSMUSG00000000489	117	70	148.435305089859	144.088278762139	88	48	88	60	86.6370276275584	107.074836962555
