"FIB_slow1","FIB_slow2","FIB_slow3","FIB_slow4","FIB_fast1","FIB_fast2","FIB_fast3","FIB_fast4"
"ENSMUSG00000033813",5080.59362005938,4456.87896516982,3637.73147860593,3568.78327693408,5414.80965446877,6194.17006746631,3991.43531457513,3772.78227606841
"ENSMUSG00000064842",0,0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,0,1.44037340420731,0,0,0
"ENSMUSG00000073737",5.70947225892252,1.37164294287925,4.7501134360792,1.29708756928933,4.50259028067411,4.88247293273037,6.82219614914529,2.60937352848136
"ENSMUSG00000067813",0,0,0,0,0,0,0,0
"ENSMUSG00000016918",2,5,0,1,0,4.00000000000001,0,0
"ENSMUSG00000067851",2375.80711915982,2229.87887135602,1891.18392827478,1889.67846179753,2698.68784431823,3414.37612026617,2085,2254.90101658302
"ENSMUSG00000025912",1054,967,924,794,366,417,247,291.999999999999
"ENSMUSG00000067879",0,1.22223581292517,0,1.01212750717161,0,0,0,0
"ENSMUSG00000099032",2,0,0,2,2.03458890625198,3,1,0
"ENSMUSG00000025915",852.775313786875,725.685881075848,520.887785253661,464.543764898993,618.638130532312,645.894588032877,262.187114925487,306.802673462829
"ENSMUSG00000090031",163.132897455313,162.332532602799,124.792954418273,99.9664531556813,190.456663494091,215.564798621078,86.758961275271,91.6994240910568
"ENSMUSG00000076135",1.00058848042782,0,0,0,0,0,0,0
"ENSMUSG00000093970",0,1,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000077318",0,0,0,0,0,0,0,0
"ENSMUSG00000077368",0,0,0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0,0,0
"ENSMUSG00000079658",2409.37795815282,2029.9732332492,2230,2051.7012637141,2335.25820325239,2457.60439240894,2482,1983.08702640689
"ENSMUSG00000067795",6.04841993731227,7.06726348649946,9.03857453184283,1.0265200834473,14.1220612833709,5.0544122751378,3,6.20807957506053
"ENSMUSG00000025938",5,2,4,4,2,6,3,2.00679157261086
"ENSMUSG00000079671",25,24.7777641870748,10,21.9878724928284,11,14,6,6
"ENSMUSG00000025909",0,2,4,0,0,0.326711908329467,0,0
"ENSMUSG00000025939",1740.73765817537,1539.65763034515,1012.96487565469,959.783513528331,1496.44037395728,1686.77127423345,796.803368039295,735.1875163199
"ENSMUSG00000083422",4.05173543161905,0,5.05142672189075,0,4.05935179610968,2.02833125780029,4.06092700317029,4.03969921455277
"ENSMUSG00000081417",1,0,0,0,0,0,0,0
"ENSMUSG00000084353",1.54413931795612,7.60271628200609,130.873348955686,161.928257700794,0,0,52.7305912869489,81.3078096781986
"ENSMUSG00000082193",0,6.37513866204395,5.16619822050238,3.45032454912805,12.79999137798,3.21635673388322,0,7.42724520475202
"ENSMUSG00000081201",0,0,0,0,0,0,8.16373836207182,0
"ENSMUSG00000081441",13.7408286638427,12.0878452991328,0,4.14932878955215,20.0343459466481,3.40089452447474,30.6987189259726,15.3929555384686
"ENSMUSG00000087247",1213,1450,1803,1134,485,738,633,436
"ENSMUSG00000087199",0,0,0,0,0,0,0,0
"ENSMUSG00000086235",0,0,0,0,0,0,0,0
"ENSMUSG00000085623",14.59160523149,13.2022945995572,5.44907714440955,3.43137147937363,15.1192811848626,4.7740427334316,24.7707244478679,7.95568049971652
