FIB_high_1	FIB_low_1	FIB_low_2	FIB_high_3	FIB_low_3	FIB_high_4	FIB_low_4
ENSMUSG00000001131	2915	3041	1927	1036	1051	1076	1087
ENSMUSG00000001134	389.849683745571	394.990593323899	302.997651018174	363.266204502702	340.719304765976	368.826487504937	369.776308820539
ENSMUSG00000001138	359.567465347679	276.775553640116	421.008645200481	516.065608033908	573.174373134101	488.511639258399	514.615343978839
ENSMUSG00000001143	627.986638042327	702.030929974341	846.198878030551	779.292361329634	916.679453076184	799.105560498207	909.177440395377
ENSMUSG00000001150	2572.82095643049	2543.59666402672	3187.5273095547	2672.30960347995	3131.28907050141	2697.95912771519	2690.4547517873
ENSMUSG00000001151	106.296804264086	367.39162562111	266.086864650487	500.426786437829	359.939963687342	687.112860643481	212.364500478977
ENSMUSG00000001155	38.8739133603733	39	34	48	45.336936687924	46	45.8517164960865
ENSMUSG00000001156	496.292405438485	298.908481316866	314.534520308159	531.976489000906	508.877310004397	493	431.472219108916
ENSMUSG00000001157	650.041541828067	489.191296375711	590.047392361174	734.33455507571	703.415188114081	668.245497427476	679.269426360851
ENSMUSG00000001158	1033	1001	700	963	982	1024	1083
ENSMUSG00000001166	1	1	0	0	0	2	0
ENSMUSG00000001168	0	0	0	0	0	0	0
ENSMUSG00000001173	2623.99165734892	2147.34664947764	2363	2429.87030144995	2732.99338013813	2635.89336266493	2623.87184896349
ENSMUSG00000001175	16374	15786	14571	10416	11761	10826	11538
ENSMUSG00000001211	4639.37429852501	4873.81981454276	5673.32048363077	4120.13012752119	4445.03581279936	4209.85893797848	4580.47414946592
ENSMUSG00000001225	1	2.14460614325896	5.56997798000168	1.42009800906597	5.17358718200043	7.4433378555899	8.97611440599879
ENSMUSG00000001227	37	33	30	9	22	13	12
ENSMUSG00000001228	9851.45772905431	8323.63756969701	8497.64109508381	7987.14208136572	6291.89623389542	7063.97733457161	5547.0564418996
ENSMUSG00000001229	3181.23905019854	2993.02320707152	3533.40051482943	2908.47354604691	2819.62617776641	2682.60223009321	2448.65635845793
ENSMUSG00000001240	43.2026102950739	43.0341506880794	56	91.7868110636002	98.6317535960634	68.3033743949435	95.5825001610844
ENSMUSG00000001247	0	0	0	0	10.0730282935323	0	0
ENSMUSG00000001248	1426.93160135601	1406.46526567998	1611.22432943043	2019.87204475789	1856.96752994031	2135.99667800202	2066.28664896585
ENSMUSG00000001249	2	2	3	1	2	3	0
ENSMUSG00000001260	0	0	0	0	0	0	0
ENSMUSG00000001270	1826.78419516701	1144.41565928557	1323.96396626601	1573.42826650423	1413.02629107189	1858.96322527633	1521.39354618122
ENSMUSG00000001280	3225.99241803709	2632	2670	4332	4396	3863.98591243909	3769.98233098545
ENSMUSG00000001281	130.194600576996	301	224.919013814737	63	95	34.7719021371493	57.8055369456686
ENSMUSG00000001285	1887.76812971144	1955.75987084792	1937.08979842743	1728.30527740062	1883.73860703697	1710.4490601234	1910.50998468712
ENSMUSG00000001288	4561.91153958843	5019.87260351474	4900.54635596332	5537.62617481583	6657.87068581963	5129.32644737766	5974.02406647165
ENSMUSG00000001289	4112.7560022168	4260.82540251516	3672.54914494691	6155.5610488636	6099.07236683676	6303.92726387881	6547.49083274966
ENSMUSG00000001300	418.844373709294	243.900156646026	176	181.891925829423	112	157	55.8181041278263
ENSMUSG00000001305	1060.04513896524	1312.90198682426	1296.00307287772	1094.84145362067	1233.67231383872	1025.60643092637	1150.97865022356
ENSMUSG00000001313	416.735703806599	453.637307411525	562.95155779292	402.492998086108	496.329291032799	416.337654138907	518.176334207195
ENSMUSG00000001323	634.728687915442	572.113259231367	618.12118391387	690.699525606583	765.408133996522	637.264022613149	714.279976673321
ENSMUSG00000001333	33.408818708504	25.2204547759093	36.2838560263525	26.3493794254784	35.3532726469383	21.2377806416597	22.1400142888784
ENSMUSG00000001334	0	0	0	2.00379246036055	0	2.0068549945603	0
ENSMUSG00000001348	36.2990851244656	27.5889655875937	10	12	3	0	5
ENSMUSG00000001349	587.00924645617	312.224177835633	319.372844650182	243.276814201189	152.429631907802	194.124722181016	116.413085938368
ENSMUSG00000001366	626	553	577	675	646	701	562
