ESC_high_1	ESC_low_1	ESC_high_2	ESC_low_2	ESC_high_3	ESC_low_3	ESC_high_4	ESC_low_4
ENSMUSG00000000339	1557.92622476721	262.960609443703	1353.22700035211	1340.08708914694	1797.78780358896	1503.31369105686	1374.25225383754	1471.16062523431
ENSMUSG00000000340	1004.08281041198	203.94017153056	1014.4118473289	974.27428725186	909.394158466779	1233.1879038384	1574.41820278308	1465.02394706334
ENSMUSG00000000346	1465.58806405037	242.845768087157	1366.52089879163	1228.07871313819	1595.19948374185	1327.05734711682	1633.19542471206	1391.49429949962
ENSMUSG00000000355	1091	246	1030	1113	889	1189	895	807
ENSMUSG00000000359	9	1	7	6	2	5	4	4
ENSMUSG00000000365	155.584452918017	36.3075928940104	181.704587843985	249.91878718879	244.364032458864	405.716561287613	319.241643341987	215.156519661246
ENSMUSG00000000374	641.445289067709	102.714473908764	652.86486906627	599.050113256683	666.28153129172	729.083423119012	853.591217661901	824.348738079887
ENSMUSG00000000378	588	79	568	488	711	504	511	664
ENSMUSG00000000381	0	0	0	0	0	0	0	0
ENSMUSG00000000384	4924.52879426009	701.949598425665	4437.6961607795	4329.96063375108	6555.65136327246	5441.94519603848	3880.03516009652	3760.27407022843
ENSMUSG00000000385	0	0	1	0	5.10242254122621	0	0	0
ENSMUSG00000000386	8.24938467911387	0	6	8.7595360913221	4	8	9.7615750855212	11
ENSMUSG00000000392	5.18934766729775	0	5.06800438913398	13.2962519079315	4.51291287328948	10.0532241975459	6.09284521453461	10.2218914662913
ENSMUSG00000000394	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1326.406796512	587.233533760145	1664.48066530441	1118.49990693449	1720.39612276546	1574.88246465062	1152.01928421546	1042.0508663603
ENSMUSG00000000402	140.5386256843	20.5004912946678	129.478362656012	159.222687192883	63.1684592651125	149.269903034187	138.991517402615	84.3454787639397
ENSMUSG00000000409	1756	246	1532	1334	1768	923	830	1012
ENSMUSG00000000411	8	2	2	4	4	7	10	10
ENSMUSG00000000416	157	20	143	144	158	125.981742594714	140.936369146673	94
ENSMUSG00000000420	1879.0514097944	404.231328346494	1910.39288848297	1898.15012873978	1869.03044253872	1969.16793152931	1981.67907424907	1989.23046588818
ENSMUSG00000000435	0	0	0	0	0	0	0	0
ENSMUSG00000000439	2047.41523315451	288.800169971481	2096.03692333163	1767.6736258098	2191.56918263714	2252.52550840221	2601.35240404234	2447.09089941043
ENSMUSG00000000440	0	0	0	0	0	0	1	0
ENSMUSG00000000441	7631.49040227989	1071.29894897872	6908.91134157345	6844.60007545601	9124.5342651328	8230.28472545886	5099.02620302648	5551.62678054667
ENSMUSG00000000486	727.279072566425	147	653	661	543	744	948	1010
ENSMUSG00000000489	78.6017462914612	16.5581217734681	72.2728239213159	78.3204742769484	70.4761555218217	90.244028752082	163.506398162821	179.438146514856
ENSMUSG00000000530	34	7	22	39	25	33	43	59
ENSMUSG00000000531	309.9593198491	54.8522405572507	296.755442031954	315.819374996748	243.809133085655	236.945710017662	468.442090372454	518.428740104556
ENSMUSG00000000532	925	141	1009.47730234354	917	878	1125	1652	1458
ENSMUSG00000000538	391	62.009744858448	313	379	402	571	512	367
ENSMUSG00000000544	1622	310	1542	1977	1242	1655	1945	1788
ENSMUSG00000000552	366.037824138788	25.7225715027473	400.839638578036	285.239844268318	247.820800730064	256.96513278512	737.872295085514	398.517085056026
ENSMUSG00000000555	525.966815188844	105.853642371502	541.714375797693	561.456961020179	419.80279374194	666.831636115512	877.066564710911	1109.01470740078
ENSMUSG00000000560	0	0	0	0	0	0	0	0
ENSMUSG00000000561	8872.41281733318	1598.28650157107	8517.2782334365	8750.5316509142	10505.2904885713	9668.73670188614	5652.69945622227	5943.87436618499
ENSMUSG00000000562	14.0280844376453	2	12.9832666616057	21.8389784542572	8.04344781183053	5.91484811484045	16.4602558684224	14.610804588475
ENSMUSG00000000563	8306.00396739356	1339.62241639357	8173.48263778114	7977.18244530679	8832.81786149255	9101.39039553642	9112.70577390378	8674.37867134709
